Math,Physics,Chemistry,Biology,Literature,History,Computer Science,Problem Solving,Hands-on Projects,Public Speaking,Work Style,Career Goal,Hobbies,Competitions,Learning Preference,Group Discussions,Study Abroad,Tuition Importance,Study Close to Home,Target College
2,1,5,2,4,2,5,5,No,3,Both,Researcher,Music,Yes,Practical,3,Yes,1,Yes,Technology-focused University
4,5,1,2,4,3,5,5,Yes,2,Both,Researcher,Painting,No,Both,3,No,5,No,Engineering College
3,2,5,3,5,1,1,4,Yes,5,Independent,Researcher,Sports,Yes,Both,1,No,1,Yes,Business School
3,3,5,3,1,5,4,2,Yes,3,Both,Engineer,Sports,No,Theory,2,Yes,5,No,Technology-focused University
1,4,4,3,5,2,2,4,No,3,Teamwork,Researcher,Writing,No,Theory,1,No,5,Yes,Design and Arts School
1,5,4,4,1,5,5,3,No,4,Teamwork,Manager,Writing,Yes,Both,3,No,1,No,Medical College
2,3,3,5,5,2,5,5,Yes,4,Teamwork,Artist,Writing,Yes,Practical,2,Yes,4,No,Design and Arts School
5,4,3,1,2,2,1,1,No,5,Teamwork,Engineer,Sports,No,Practical,1,Yes,4,Yes,Technology-focused University
5,1,4,1,3,5,4,3,Yes,3,Both,Researcher,Chess,Yes,Theory,4,No,1,Yes,Technology-focused University
4,2,3,1,3,1,3,5,Yes,3,Teamwork,Manager,Writing,No,Theory,4,Yes,5,No,Design and Arts School
5,5,2,1,4,1,2,1,No,1,Teamwork,Researcher,Music,No,Both,3,Yes,1,No,Technology-focused University
4,2,1,4,3,4,1,2,No,4,Both,Researcher,Sports,No,Practical,3,Yes,3,Yes,Technology-focused University
3,5,1,1,4,2,5,2,Yes,3,Both,Researcher,Painting,Yes,Theory,5,Yes,2,Yes,Design and Arts School
4,3,4,1,1,5,3,3,Yes,4,Independent,Researcher,Music,Yes,Both,2,Yes,5,No,Technology-focused University
1,5,4,5,3,5,3,2,Yes,2,Both,Manager,Music,No,Practical,3,Yes,3,No,Medical College
2,4,2,4,5,1,2,2,Yes,4,Both,Engineer,Writing,No,Theory,3,Yes,5,No,Design and Arts School
3,2,5,5,3,4,3,3,No,5,Both,Artist,Painting,No,Practical,5,Yes,1,Yes,Medical College
3,1,4,1,3,4,5,3,No,1,Teamwork,Manager,Sports,Yes,Practical,5,No,2,Yes,Technology-focused University
3,4,1,1,2,1,1,3,Yes,5,Both,Researcher,Chess,No,Practical,4,No,1,No,Vocational Training Institute
5,2,4,5,2,1,4,5,No,3,Both,Researcher,Sports,No,Theory,3,No,4,Yes,Medical College
2,2,5,5,2,3,3,5,Yes,5,Both,Manager,Chess,No,Practical,3,No,1,No,Medical College
4,5,2,5,1,3,3,3,Yes,2,Both,Manager,Writing,No,Practical,3,No,2,Yes,Design and Arts School
4,1,3,1,5,3,2,4,Yes,5,Teamwork,Researcher,Chess,No,Both,1,Yes,3,No,Technology-focused University
5,2,1,3,4,3,5,5,No,2,Independent,Manager,Sports,Yes,Theory,5,Yes,4,Yes,Business School
2,1,2,4,5,2,1,1,No,4,Independent,Artist,Painting,No,Practical,5,Yes,4,Yes,Design and Arts School
2,5,5,5,3,4,2,3,Yes,5,Both,Engineer,Writing,Yes,Both,3,No,4,No,Medical College
5,2,1,1,4,1,4,1,No,2,Teamwork,Researcher,Writing,Yes,Theory,5,Yes,1,No,Design and Arts School
5,5,4,5,4,3,2,1,Yes,5,Teamwork,Researcher,Painting,No,Both,2,Yes,3,No,Medical College
2,1,2,5,3,4,3,2,No,1,Both,Engineer,Programming,No,Theory,5,Yes,5,No,Technology-focused University
1,2,5,4,2,2,4,3,No,2,Both,Engineer,Programming,Yes,Theory,4,Yes,5,Yes,Medical College
4,3,3,1,1,3,5,3,Yes,2,Both,Manager,Programming,No,Practical,3,No,1,Yes,Vocational Training Institute
3,5,1,4,3,5,5,5,No,4,Independent,Artist,Music,No,Both,3,No,5,No,Business School
5,4,3,3,1,5,1,4,Yes,1,Both,Researcher,Music,Yes,Theory,2,No,1,No,Technology-focused University
3,2,5,1,5,4,1,4,Yes,2,Teamwork,Researcher,Chess,Yes,Both,5,Yes,5,Yes,Liberal Arts College
2,5,5,3,3,3,4,4,Yes,2,Independent,Researcher,Music,Yes,Both,1,Yes,2,Yes,Business School
1,4,4,2,1,1,4,2,Yes,1,Both,Researcher,Sports,No,Both,4,No,3,No,Technology-focused University
3,3,2,4,5,5,4,1,Yes,4,Teamwork,Manager,Chess,No,Both,5,No,1,No,Liberal Arts College
2,5,2,4,5,2,1,3,No,5,Both,Artist,Painting,Yes,Practical,5,Yes,5,No,Design and Arts School
3,4,2,5,1,4,5,3,No,2,Both,Researcher,Sports,Yes,Both,1,No,2,No,Technology-focused University
2,1,3,5,4,1,4,2,No,1,Independent,Manager,Programming,Yes,Practical,4,No,4,No,Technology-focused University
5,1,3,4,5,3,4,2,Yes,1,Independent,Artist,Writing,Yes,Practical,3,Yes,1,Yes,Design and Arts School
